,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
21,0 days 01:34:21.272000,3,0 days 00:01:32.063000,22.0,,0 days 01:34:17.595000,0 days 00:00:28.508000,0 days 00:00:29.945000,0 days 00:00:33.610000,0 days 01:33:17.717000,0 days 01:33:47.662000,0 days 01:34:21.272000,,309.0,,,False,MEDIUM,22.0,True,1,0 days 01:32:49.209000,McLaren,RIC,1,False,2021-09-12 13:33:50.818
22,0 days 01:36:06.811000,3,0 days 00:01:45.539000,23.0,0 days 01:34:41.382000,,0 days 00:00:47.730000,0 days 00:00:29.202000,0 days 00:00:28.607000,0 days 01:35:09.002000,0 days 01:35:38.204000,0 days 01:36:06.811000,312.0,313.0,313.0,289.0,False,HARD,1.0,True,2,0 days 01:34:21.272000,McLaren,RIC,1,False,2021-09-12 13:35:22.881
23,0 days 01:37:32.848000,3,0 days 00:01:26.037000,24.0,,,0 days 00:00:28.232000,0 days 00:00:29.281000,0 days 00:00:28.524000,0 days 01:36:35.043000,0 days 01:37:04.324000,0 days 01:37:32.848000,315.0,318.0,318.0,322.0,False,HARD,2.0,True,2,0 days 01:36:06.811000,McLaren,RIC,1,True,2021-09-12 13:37:08.420
24,0 days 01:38:58.869000,3,0 days 00:01:26.021000,25.0,,,0 days 00:00:27.923000,0 days 00:00:29.472000,0 days 00:00:28.626000,0 days 01:38:00.771000,0 days 01:38:30.243000,0 days 01:38:58.869000,309.0,309.0,310.0,344.0,False,HARD,3.0,True,2,0 days 01:37:32.848000,McLaren,RIC,1,True,2021-09-12 13:38:34.457
25,0 days 01:40:42.920000,3,0 days 00:01:44.051000,26.0,,,0 days 00:00:28.260000,0 days 00:00:37.698000,0 days 00:00:38.093000,0 days 01:39:27.129000,0 days 01:40:04.827000,0 days 01:40:42.920000,311.0,281.0,254.0,316.0,False,HARD,4.0,True,2,0 days 01:38:58.869000,McLaren,RIC,24,False,2021-09-12 13:40:00.478
26,0 days 01:43:16.457000,3,,27.0,,,0 days 00:00:38.955000,0 days 00:00:57.654000,0 days 00:00:56.861000,0 days 01:41:21.973000,0 days 01:42:19.596000,0 days 01:43:16.564000,156.0,192.0,166.0,258.0,False,HARD,5.0,True,2,0 days 01:40:42.920000,McLaren,RIC,4,False,2021-09-12 13:41:44.529
27,0 days 01:45:52.689000,3,,28.0,,,0 days 00:00:54.955000,0 days 00:00:50.735000,0 days 00:00:50.564000,0 days 01:44:11.390000,0 days 01:45:02.205000,0 days 01:45:52.835000,120.0,238.0,267.0,107.0,False,HARD,6.0,True,2,0 days 01:43:16.457000,McLaren,RIC,4,False,2021-09-12 13:44:18.066
28,0 days 01:48:22.821000,3,,29.0,,,0 days 00:00:49.895000,0 days 00:00:54.879000,0 days 00:00:45.388000,0 days 01:46:42.557000,0 days 01:47:37.433000,0 days 01:48:24.501000,153.0,275.0,272.0,90.0,False,HARD,7.0,True,2,0 days 01:45:52.689000,McLaren,RIC,4,False,2021-09-12 13:46:54.298
29,0 days 01:50:56.183000,3,,30.0,,,0 days 00:00:43.676000,0 days 00:00:58.378000,0 days 00:00:51.331000,0 days 01:49:06.563000,0 days 01:50:04.930000,0 days 01:50:56.391000,197.0,200.0,306.0,127.0,False,HARD,8.0,True,2,0 days 01:48:22.821000,McLaren,RIC,4,False,2021-09-12 13:49:24.430
30,0 days 01:52:22.708000,3,0 days 00:01:26.525000,31.0,,,0 days 00:00:28.461000,0 days 00:00:29.391000,0 days 00:00:28.673000,0 days 01:51:24.644000,0 days 01:51:54.035000,0 days 01:52:22.708000,303.0,306.0,309.0,324.0,False,HARD,9.0,True,2,0 days 01:50:56.183000,McLaren,RIC,1,False,2021-09-12 13:51:57.792
